purchase_id,customer_id,product_category,product_name,quantity,price_per_item,purchase_date,customer_state,shipping_method
P00306,C0456,Home & Garden,Textbook,2.0,299.24,2024-01-04,CA,Overnight
P00307,C0479,Books,Shoes,4.0,105.46,2024-05-25,NY,Overnight
P00326,C0121,Books,T-Shirt,3.0,456.66,2024-02-11,NY,Overnight
P00327,C0142,Clothing,Rug,2.0,341.63,2024-11-17,NY,Overnight
P00329,C0201,Sports,Garden Tools,2.0,290.7,2024-06-09,NY,Overnight
P00332,C0289,Clothing,Garden Tools,4.0,105.89,2024-03-09,CA,Standard
P00335,C0421,Clothing,Rug,3.0,61.77,2024-01-08,CA,Overnight
P00340,C0467,Clothing,Lamp,2.0,280.41,2024-03-23,CA,Express
P00345,C0203,Electronics,Garden Tools,4.0,32.66,2024-02-01,NY,Overnight
P00346,C0265,Clothing,Tennis Racket,2.0,353.5,2024-02-27,NY,Express
P00350,C0465,Clothing,Rug,3.0,226.49,2024-03-14,NY,Overnight
P00361,C0333,Clothing,Cookbook,3.0,167.14,2024-08-25,NY,Standard
P00369,C0064,Books,Lamp,3.0,421.06,2024-05-13,NY,Overnight
P00370,C0484,Electronics,Garden Tools,3.0,13.34,2024-01-16,CA,Express
P00371,C0006,Clothing,Running Shoes,3.0,17.1,2024-02-14,NY,Overnight
P00372,C0263,Electronics,Garden Tools,2.0,135.43,2024-04-24,CA,Overnight
P00377,C0183,Clothing,Garden Tools,5.0,56.24,2024-05-15,NY,
P00378,C0395,Electronics,Shoes,5.0,365.74,2024-02-14,CA,Standard
P00380,C0470,Books,Tablet,2.0,438.44,2024-02-07,CA,Express
P00381,C0427,Sports,T-Shirt,3.0,105.77,2024-06-07,CA,Standard
P00382,C0451,Sports,Tennis Racket,4.0,400.08,2024-07-24,NY,Standard
P00384,C0165,Clothing,Textbook,2.0,207.21,2024-10-13,CA,Overnight
P00385,C0176,Books,Smartphone,5.0,297.86,2024-11-11,NY,Overnight
P00390,C0178,Electronics,Jeans,2.0,38.61,2024-02-03,NY,Standard
P00391,C0451,Home & Garden,Rug,4.0,404.16,2024-09-13,NY,Express
P00392,C0370,Books,Shoes,3.0,446.46,2024-02-08,NY,Express
P00395,C0468,Clothing,Laptop,5.0,443.75,2024-02-19,CA,Overnight
P00400,C0292,Clothing,Headphones,5.0,295.16,2024-06-12,NY,Standard
P00408,C0034,Home & Garden,Garden Tools,3.0,93.56,2024-12-17,NY,Express
P00410,C0489,Home & Garden,Textbook,2.0,269.83,2024-07-30,CA,Standard
P00413,C0110,Books,Jeans,5.0,460.87,2024-04-07,CA,Standard
P00419,C0090,Sports,Textbook,4.0,398.27,2024-03-24,NY,Standard
P00423,C0486,Home & Garden,Novel,4.0,30.81,2024-01-23,NY,Express
P00424,C0077,Clothing,Tennis Racket,2.0,252.93,2024-09-03,CA,Standard
P00428,C0185,Clothing,Yoga Mat,3.0,160.13,2024-04-01,NY,Express
P00430,C0032,Home & Garden,Headphones,2.0,259.4,2024-05-15,CA,Standard
P00431,C0422,Books,Headphones,4.0,118.8,2024-03-04,CA,Express
P00441,C0489,Home & Garden,Novel,4.0,100.06,2024-02-12,CA,Standard
P00444,C0322,Books,Yoga Mat,4.0,175.37,2024-04-10,CA,Overnight
P00458,C0035,Books,Tablet,4.0,237.8,2024-10-29,CA,Overnight
P00460,C0449,Sports,Running Shoes,3.0,431.24,2024-10-17,CA,Overnight
P00462,C0203,Clothing,Magazine,3.0,265.25,2024-09-02,CA,Standard
P00466,C0419,Books,Lamp,4.0,96.4,2024-02-25,CA,Standard
P00467,C0323,Electronics,Laptop,2.0,456.25,2024-12-21,NY,Overnight
P00479,C0034,Clothing,Basketball,3.0,281.58,2024-09-14,NY,Overnight
P00480,C0338,Electronics,Dumbbells,5.0,107.78,2024-10-26,NY,Overnight
P00483,C0357,Electronics,Rug,4.0,31.05,2024-07-30,CA,Express
P00492,C0124,Electronics,Hat,3.0,348.5,2024-08-26,NY,Standard
P00498,C0232,Electronics,Cookbook,3.0,107.5,2024-04-27,CA,Overnight
P00501,C0161,Sports,Magazine,2.0,464.03,2024-02-14,CA,Standard
P00503,C0424,Home & Garden,Cushion,4.0,332.96,2024-08-21,NY,Overnight
P00504,C0006,Books,Cookbook,4.0,152.78,2024-06-18,CA,Standard
P00510,C0361,Electronics,Shoes,4.0,426.54,2024-11-09,CA,Overnight
P00514,C0447,Electronics,T-Shirt,3.0,87.97,2024-02-08,CA,Express
P00520,C0128,Home & Garden,Cushion,2.0,10.09,2024-05-23,CA,Express
P00532,C0083,Electronics,Lamp,2.0,481.04,2024-01-28,CA,Overnight
P00538,C0448,Home & Garden,Basketball,4.0,204.44,2024-11-04,NY,Overnight
P00539,C0236,Home & Garden,Yoga Mat,2.0,82.37,2024-09-08,NY,Overnight
P00541,C0454,Books,Smartphone,5.0,414.89,2024-06-30,CA,Express
P00546,C0282,Sports,Cookbook,2.0,332.56,2024-06-10,NY,Express
P00548,C0254,Books,Hat,2.0,444.99,2024-09-11,CA,Express
P00549,C0358,Sports,Monitor,4.0,376.46,2024-03-31,CA,Standard
P00550,C0030,Clothing,Cushion,2.0,360.65,2024-07-23,CA,Overnight
P00551,C0210,Books,Cookbook,4.0,150.71,2024-02-10,CA,Express
P00553,C0368,Books,Basketball,3.0,156.88,2024-10-31,CA,Overnight
P00556,C0292,Electronics,Magazine,3.0,376.77,2024-01-24,CA,Standard
P00557,C0251,Books,Cookbook,3.0,78.04,2024-10-11,NY,Overnight
P00565,C0118,Electronics,Cushion,3.0,314.42,2024-10-02,NY,Overnight
P00569,C0270,Home & Garden,Rug,5.0,238.78,2024-08-03,NY,Overnight
P00587,C0332,Electronics,Cookbook,5.0,123.67,2024-01-18,NY,Standard
P00590,C0427,Books,Garden Tools,2.0,233.74,2024-06-15,NY,Standard
P00591,C0008,Electronics,Tablet,4.0,330.57,2024-01-17,NY,Express
P00592,C0220,Clothing,Running Shoes,3.0,371.06,2024-09-07,NY,Overnight
P00597,C0163,Home & Garden,Garden Tools,5.0,220.09,2024-12-14,NY,Overnight
P00599,C0350,Clothing,T-Shirt,5.0,188.33,2024-10-08,NY,Standard
P00602,C0437,Home & Garden,Tablet,2.0,347.86,2024-07-01,NY,Overnight
P00607,C0199,Books,Novel,4.0,128.2,2024-10-17,CA,Standard
P00609,C0200,Books,Smartphone,2.0,155.36,2024-05-04,CA,Express
P00611,C0018,Clothing,Yoga Mat,2.0,123.87,2024-12-01,NY,Overnight
P00616,C0034,Electronics,Novel,3.0,324.83,2024-04-27,CA,Express
P00622,C0010,Clothing,Jeans,2.0,218.09,2024-08-13,NY,Express
P00625,C0013,Books,Cushion,5.0,262.02,2024-11-24,NY,Overnight
P00627,C0061,Electronics,Dumbbells,3.0,361.99,2024-06-25,NY,Express
P00628,C0204,Sports,Shoes,4.0,163.64,2024-06-20,CA,Standard
P00629,C0260,Electronics,Yoga Mat,2.0,119.11,2024-08-16,NY,Standard
P00634,C0224,Electronics,Jacket,4.0,78.66,2024-02-02,CA,Express
P00637,C0411,Electronics,Basketball,5.0,16.72,2024-01-27,CA,Express
P00638,C0062,Electronics,Cushion,5.0,126.71,2024-06-05,CA,Express
P00640,C0473,Books,Jacket,2.0,363.11,2024-09-10,CA,Standard
P00641,C0222,Home & Garden,Jeans,4.0,471.74,2024-06-13,NY,Overnight
P00642,C0213,Electronics,Magazine,4.0,434.7,2024-03-31,NY,Overnight
P00643,C0238,Clothing,Jeans,5.0,85.76,2024-12-10,NY,Overnight
P00656,C0471,Home & Garden,Cushion,4.0,451.59,2024-03-12,NY,Overnight
P00667,C0086,Clothing,T-Shirt,5.0,283.77,2024-10-27,NY,Overnight
P00668,C0244,Electronics,Cushion,2.0,72.36,2024-05-06,NY,Overnight
P00671,C0138,Electronics,Smartphone,2.0,428.52,2024-02-13,CA,Standard
P00673,C0127,Electronics,Yoga Mat,2.0,166.4,2024-11-21,CA,Standard
P00681,C0231,Home & Garden,Plant Pot,2.0,304.01,2024-09-25,NY,Standard
P00688,C0482,Home & Garden,Rug,2.0,133.45,2024-12-16,NY,Express
P00690,C0268,Home & Garden,Lamp,5.0,489.26,2024-12-30,CA,Overnight
P00693,C0394,Clothing,Rug,4.0,324.15,2024-10-17,NY,Express
P00696,C0233,Books,Tennis Racket,5.0,378.28,2024-08-19,CA,Express
P00707,C0090,Clothing,Dumbbells,4.0,230.71,2024-03-06,NY,Express
P00712,C0014,Sports,Lamp,5.0,368.71,2024-07-26,CA,Standard
P00713,C0424,Clothing,Cookbook,3.0,285.06,2024-07-27,CA,Express
P00714,C0443,Books,Cookbook,2.0,49.89,2024-12-23,NY,Express
P00719,C0270,Home & Garden,Cushion,2.0,13.13,2024-10-28,NY,Express
P00720,C0479,Sports,Cookbook,5.0,226.85,2024-04-26,CA,Standard
P00721,C0436,Sports,Tennis Racket,2.0,346.25,2024-05-13,CA,Overnight
P00725,C0142,Sports,Rug,2.0,338.33,2024-01-13,NY,Standard
P00730,C0257,Electronics,Basketball,4.0,143.15,2024-12-08,NY,Express
P00734,C0406,Sports,Novel,5.0,477.76,2024-07-26,CA,Standard
P00736,C0280,Clothing,Yoga Mat,3.0,432.65,2024-09-03,NY,
P00737,C0409,Books,Headphones,5.0,317.79,2024-01-19,NY,Express
P00739,C0076,Books,Smartphone,4.0,56.49,2024-06-06,NY,Overnight
P00740,C0491,Sports,Cookbook,5.0,214.53,2024-05-17,CA,Express
P00741,C0484,Home & Garden,Monitor,3.0,212.81,2024-12-26,CA,Express
P00743,C0282,Clothing,Hat,3.0,374.67,2024-06-03,CA,Overnight
P00748,C0482,Sports,Tablet,3.0,420.96,2024-06-15,CA,Standard
P00749,C0260,Home & Garden,Hat,4.0,240.68,2024-12-09,NY,
P00750,C0402,Electronics,Garden Tools,5.0,363.75,2024-12-08,NY,Express
P00759,C0445,Clothing,Lamp,5.0,458.91,2024-09-17,CA,Standard
P00762,C0002,Books,Running Shoes,3.0,321.96,2024-06-23,NY,Express
P00766,C0049,Electronics,Shoes,4.0,148.1,2024-01-31,CA,Overnight
P00768,C0129,Sports,Tennis Racket,3.0,84.55,2024-03-30,NY,Standard
P00769,C0379,Home & Garden,Basketball,2.0,230.77,2024-01-04,NY,Express
P00772,C0342,Electronics,Jacket,4.0,189.97,2024-08-17,CA,Express
P00774,C0298,Electronics,T-Shirt,4.0,15.86,2024-04-20,CA,Standard
P00778,C0001,Books,Dumbbells,4.0,490.46,2024-02-03,NY,Express
P00789,C0369,Sports,Monitor,5.0,36.46,2024-03-09,NY,Overnight
P00790,C0023,Clothing,Tablet,3.0,50.24,2024-03-11,CA,Overnight
P00792,C0162,Sports,Tablet,3.0,301.22,2024-12-20,CA,Standard
P00798,C0122,Sports,Headphones,2.0,334.14,2024-09-19,NY,Standard
P00803,C0198,Electronics,Basketball,3.0,142.88,2024-02-06,CA,Express
P00808,C0180,Sports,Basketball,4.0,13.82,2024-07-05,NY,Standard
P00813,C0193,Books,Cushion,4.0,392.98,2024-06-27,CA,Standard
P00819,C0029,Books,Smartphone,3.0,151.5,2024-02-10,NY,Overnight
P00820,C0154,Sports,Jeans,3.0,259.35,2024-01-24,NY,Standard
P00827,C0401,Electronics,Textbook,4.0,256.93,2024-07-16,NY,Express
P00829,C0387,Home & Garden,Jacket,4.0,408.57,2024-04-20,CA,Overnight
P00831,C0416,Home & Garden,Textbook,3.0,67.24,2024-10-02,CA,Standard
P00837,C0434,Clothing,Monitor,5.0,490.78,2024-06-24,NY,Express
P00846,C0230,Books,Rug,2.0,471.28,2024-12-15,NY,Express
P00848,C0166,Home & Garden,Dumbbells,5.0,176.49,2024-11-27,CA,Overnight
P00850,C0073,Books,Dumbbells,4.0,284.06,2024-11-12,NY,Express
P00852,C0006,Electronics,Jacket,2.0,490.83,2024-04-04,CA,Standard
P00853,C0123,Electronics,Jeans,5.0,215.55,2024-10-18,NY,
P00854,C0011,Books,Rug,3.0,328.23,2024-02-05,CA,Overnight
P00855,C0488,Electronics,Basketball,3.0,80.09,2024-04-01,CA,Express
P00856,C0295,Sports,Yoga Mat,4.0,423.97,2024-09-08,NY,Overnight
P00859,C0274,Books,Jeans,2.0,172.38,2024-11-09,NY,
P00862,C0224,Clothing,Tablet,5.0,291.26,2024-11-25,NY,Express
P00865,C0472,Clothing,T-Shirt,4.0,12.24,2024-03-03,CA,Standard
P00867,C0031,Sports,Headphones,3.0,451.17,2024-01-23,CA,Standard
P00878,C0231,Electronics,Novel,3.0,221.99,2024-08-30,NY,Express
P00879,C0225,Books,Yoga Mat,5.0,481.35,2024-07-03,NY,Express
P00887,C0131,Clothing,Plant Pot,2.0,192.37,2024-11-13,NY,Express
P00890,C0233,Electronics,Headphones,2.0,343.82,2024-01-15,CA,Express
P00891,C0403,Home & Garden,Garden Tools,2.0,165.5,2024-11-26,CA,Overnight
P00896,C0303,Home & Garden,Cookbook,5.0,215.07,2024-02-13,CA,Overnight
P00897,C0442,Clothing,Monitor,4.0,271.22,2024-10-22,NY,Overnight
P00898,C0356,Electronics,Magazine,4.0,116.55,2024-01-27,NY,Express
P00901,C0289,Electronics,Cookbook,5.0,272.83,2024-03-15,NY,Overnight
P00904,C0444,Books,Rug,3.0,296.12,2024-04-06,NY,Overnight
P00908,C0064,Home & Garden,Hat,4.0,289.08,2024-07-25,NY,Overnight
P00912,C0403,Books,Basketball,2.0,225.8,2024-10-01,CA,Express
P00913,C0295,Electronics,Tablet,4.0,19.71,2024-12-14,CA,Overnight
P00918,C0042,Sports,Yoga Mat,3.0,363.67,2024-07-28,CA,
P00920,C0053,Books,Jeans,4.0,417.31,2024-02-28,NY,Express
P00925,C0096,Electronics,Smartphone,3.0,367.42,2024-12-23,CA,Overnight
P00931,C0452,Books,Tablet,5.0,351.61,2024-07-30,CA,Overnight
P00936,C0398,Books,Yoga Mat,3.0,352.73,2024-03-03,CA,Overnight
P00941,C0402,Books,Jeans,4.0,17.77,2024-05-24,CA,Standard
P00946,C0139,Home & Garden,Lamp,3.0,219.84,2024-06-30,NY,Express
P00949,C0103,Sports,Hat,4.0,462.18,2024-07-25,NY,Express
P00952,C0212,Sports,Basketball,4.0,176.16,2024-08-27,CA,Overnight
P00958,C0406,Sports,Shoes,2.0,174.04,2024-09-19,CA,Overnight
P00960,C0485,Home & Garden,Running Shoes,2.0,52.96,2024-11-10,NY,Overnight
P00965,C0115,Sports,Yoga Mat,5.0,13.37,2024-01-20,NY,Overnight
P00979,C0160,Clothing,Lamp,5.0,28.56,2024-02-14,CA,Express
P00982,C0457,Sports,Jeans,2.0,409.19,2024-09-29,NY,Overnight
P00989,C0421,Sports,Rug,2.0,357.07,2024-10-05,CA,Overnight
P00990,C0046,Sports,Rug,5.0,497.78,2024-11-23,NY,Overnight
P00993,C0401,Sports,Basketball,5.0,49.93,2024-01-18,CA,Overnight
P00994,C0329,Home & Garden,Dumbbells,3.0,151.97,2024-05-10,NY,Express
P00995,C0022,Electronics,Novel,3.0,458.21,2024-05-16,CA,Standard
P00997,C0082,Home & Garden,Monitor,2.0,331.64,2024-12-30,CA,
P00998,C0376,Clothing,Cookbook,5.0,472.51,2024-04-18,NY,Overnight
P01008,C0215,Clothing,Laptop,4.0,275.66,2024-07-19,NY,Standard
P01011,C0099,Sports,Novel,5.0,126.62,2024-04-02,NY,Express
P01012,C0457,Home & Garden,Tablet,2.0,209.61,2024-12-29,NY,Express
P01017,C0331,Electronics,Magazine,2.0,322.59,2024-03-17,CA,Standard
P01018,C0228,Books,Jacket,3.0,99.99,2024-09-15,CA,Standard
P01023,C0173,Home & Garden,Rug,5.0,418.29,2024-12-10,NY,Overnight
P01024,C0490,Sports,Cushion,3.0,72.79,2024-12-28,CA,Express
P01029,C0070,Electronics,Shoes,5.0,111.66,2024-12-26,NY,Standard
P01034,C0375,Electronics,Headphones,4.0,445.97,2024-08-30,NY,Express
P01035,C0042,Home & Garden,Basketball,5.0,280.68,2024-08-03,NY,Overnight
P01039,C0122,Clothing,T-Shirt,4.0,63.27,2024-08-14,CA,Overnight
P01040,C0350,Electronics,Running Shoes,4.0,255.96,2024-06-07,NY,Standard
P01048,C0018,Clothing,Jeans,2.0,229.19,2024-10-10,CA,Overnight
P01050,C0340,Home & Garden,Plant Pot,5.0,218.68,2024-10-18,CA,Overnight
P01052,C0059,Electronics,Running Shoes,2.0,479.15,2024-07-02,NY,Standard
P01062,C0468,Books,Tennis Racket,4.0,386.22,2024-10-07,CA,Overnight
P01067,C0487,Books,Tennis Racket,3.0,57.7,2024-04-06,CA,Overnight
P01071,C0098,Sports,Dumbbells,2.0,432.64,2024-11-23,NY,Standard
P01077,C0192,Books,Laptop,2.0,205.35,2024-05-13,CA,Standard
P01078,C0033,Clothing,Monitor,4.0,491.78,2024-10-05,CA,Overnight
P01082,C0090,Clothing,Rug,4.0,494.93,2024-04-02,CA,Standard
P01088,C0047,Electronics,T-Shirt,3.0,457.6,2024-04-06,CA,Standard
P01092,C0123,Clothing,Garden Tools,5.0,145.09,2024-10-04,CA,Standard
P01096,C0247,Home & Garden,Jeans,5.0,380.48,2024-03-26,CA,Overnight
P01097,C0103,Sports,Basketball,2.0,440.98,2024-01-26,CA,Overnight
P01100,C0325,Home & Garden,Monitor,4.0,425.36,2024-06-17,NY,Express
P01103,C0310,Clothing,Garden Tools,2.0,243.35,2024-03-20,NY,Overnight
P01105,C0227,Sports,Tennis Racket,3.0,301.78,2024-03-10,CA,Express
P01106,C0055,Sports,Laptop,3.0,146.39,2024-01-13,NY,Overnight
P01120,C0339,Home & Garden,Shoes,3.0,224.63,2024-04-27,CA,Express
P01121,C0446,Clothing,Textbook,3.0,351.92,2024-09-17,NY,Overnight
P01129,C0059,Clothing,Monitor,3.0,169.32,2024-09-06,NY,Standard
P01131,C0029,Electronics,Garden Tools,4.0,335.35,2024-04-09,NY,Express
P01139,C0461,Home & Garden,Basketball,4.0,119.62,2024-02-18,CA,Standard
P01141,C0264,Clothing,Garden Tools,3.0,318.76,2024-12-06,CA,Overnight
P01149,C0308,Sports,Cushion,5.0,190.6,2024-04-13,NY,Express
P01152,C0407,Books,Basketball,3.0,65.17,2024-10-07,CA,Express
P01158,C0258,Sports,Jacket,4.0,57.02,2024-10-11,CA,Express
P01165,C0233,Books,Plant Pot,4.0,228.86,2024-07-07,NY,Express
P01175,C0315,Sports,Basketball,5.0,439.27,2024-08-08,NY,Express
P01185,C0079,Sports,Shoes,3.0,382.47,2024-07-11,CA,Express
P01186,C0462,Books,Monitor,3.0,83.05,2024-05-17,CA,Overnight
P01188,C0387,Books,Garden Tools,5.0,223.7,2024-01-11,NY,Standard
P01190,C0425,Sports,Laptop,5.0,38.7,2024-07-14,CA,Overnight
P01195,C0205,Clothing,T-Shirt,4.0,30.96,2024-03-19,CA,Overnight
P01199,C0319,Sports,Tennis Racket,2.0,392.1,2024-03-06,NY,Express
P01201,C0386,Home & Garden,Jeans,4.0,282.1,2024-01-30,NY,Express
P01203,C0066,Sports,Basketball,2.0,313.81,2024-04-12,CA,Express
P01204,C0173,Books,Plant Pot,4.0,388.83,2024-12-04,CA,Express
P01212,C0397,Home & Garden,Cushion,4.0,140.97,2024-11-01,CA,Overnight
P01216,C0335,Books,Jacket,2.0,334.93,2024-09-13,NY,Overnight
P01217,C0284,Clothing,Cookbook,3.0,207.5,2024-11-22,CA,Overnight
P01220,C0466,Electronics,Headphones,4.0,176.36,2024-12-14,CA,Overnight
P01240,C0383,Clothing,Garden Tools,5.0,126.62,2024-09-07,CA,Express
P01242,C0200,Home & Garden,T-Shirt,5.0,475.79,2024-06-06,CA,Overnight
P01250,C0431,Home & Garden,T-Shirt,5.0,320.14,2024-03-03,CA,Standard
P01258,C0002,Sports,Plant Pot,4.0,247.0,2024-09-30,NY,Standard
P01263,C0400,Sports,Garden Tools,4.0,144.59,2024-06-10,CA,Standard
P01266,C0010,Sports,Cookbook,5.0,357.34,2024-09-16,CA,Overnight
P01270,C0083,Clothing,Jacket,4.0,348.25,2024-07-29,NY,Standard
P01277,C0181,Sports,Yoga Mat,4.0,294.09,2024-05-17,NY,Express
P01279,C0226,Electronics,Cookbook,5.0,337.49,2024-01-06,NY,Express
P01284,C0400,Books,Yoga Mat,2.0,244.58,2024-01-14,NY,Overnight
P01285,C0351,Books,Jacket,2.0,55.65,2024-11-17,NY,Overnight
P01303,C0271,Books,Tennis Racket,2.0,289.86,2024-12-07,NY,Overnight
P01307,C0199,Electronics,Lamp,5.0,64.07,2024-01-29,CA,Standard
P01312,C0368,Sports,Lamp,4.0,142.71,2024-06-04,NY,Express
P01313,C0470,Home & Garden,Dumbbells,5.0,131.73,2024-10-07,NY,Express
P01317,C0303,Sports,Laptop,5.0,314.12,2024-08-13,CA,Overnight
P01320,C0483,Electronics,Dumbbells,5.0,230.09,2024-01-21,NY,Express
P01331,C0272,Home & Garden,Yoga Mat,2.0,58.24,2024-05-06,NY,Express
P01334,C0005,Home & Garden,Basketball,3.0,380.94,2024-09-20,NY,Express
P01335,C0368,Sports,Plant Pot,2.0,155.74,2024-12-10,NY,Overnight
P01337,C0313,Sports,Jacket,4.0,451.3,2024-08-29,NY,Overnight
P01342,C0074,Sports,Jeans,3.0,424.05,2024-11-07,NY,Express
P01348,C0230,Clothing,T-Shirt,3.0,136.77,2024-01-14,NY,Express
P01350,C0128,Home & Garden,Laptop,5.0,227.7,2024-03-04,NY,Standard
P01351,C0429,Books,Jacket,4.0,371.71,2024-03-29,CA,Express
P01354,C0012,Sports,Laptop,5.0,99.26,2024-05-06,CA,Overnight
P01356,C0111,Sports,Headphones,5.0,457.06,2024-09-24,NY,
